(!= null),TRAIL_LAMBDA,COMPANION_OBJECT,NULL_DEREF,Token(token=DOT_SAFE),Token(token=ELVIS),Token(token=RANGE),Name(name=run),Name(name=let),Name(name=also),Name(name=apply),Name(name=with),filename
1,1,1,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-500
1,0,1,1,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-785
0,4,0,0,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-445
0,0,0,6,1,0,0,0,0,0,0,0,kotlinCode-dkhmelenk-Varis-Android-0-2015-13
0,0,1,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-633
0,21,1,6,0,0,2,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-667
0,0,0,0,4,4,0,0,0,0,0,0,kotlinCode-ohma-DmsExplorer-1-2016-6
0,1,0,0,0,0,1,0,0,0,0,0,kotlinCode-jbmlair-DiscogsBrowser-1-2017-74
1,11,1,5,17,2,0,0,3,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-89
0,3,0,0,0,0,0,0,0,0,0,0,kotlinCode-iSoro-uhabits-0-2014-23
0,0,1,0,2,2,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-531
0,2,0,0,2,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-425
3,1,0,4,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-471
4,9,0,1,1,1,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-474
0,1,0,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-534
0,23,1,0,0,3,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-420
0,0,0,0,0,0,0,0,0,0,1,0,kotlinCode-sewer-Bill-Calculator-1-2014-34
1,16,0,0,11,0,0,0,3,0,10,0,kotlinCode-iSoro-uhabits-0-2014-17
8,7,1,16,57,0,0,0,0,0,0,1,kotlinCode-icaronune-PopCornShow-1-2018-28
1,1,0,4,5,0,0,0,0,0,1,2,kotlinCode-icaronune-PopCornShow-1-2018-7
0,0,0,0,1,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-742
0,2,0,0,0,0,0,0,0,0,2,0,kotlinCode-iSoro-uhabits-0-2014-46
1,0,0,0,0,0,0,0,0,0,0,0,kotlinCode-ohma-DmsExplorer-1-2016-48
0,1,0,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-596
0,0,1,1,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-149
0,1,0,0,0,0,0,0,0,0,1,0,kotlinCode-iSoro-uhabits-0-2014-2
0,1,0,0,1,0,0,0,0,0,1,0,kotlinCode-googl-santa-tracker-android-1-2015-66
0,1,1,3,0,0,2,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-13
0,2,1,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-118
1,26,1,10,14,0,0,0,8,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-289
2,7,1,0,7,1,0,0,1,2,0,0,kotlinCode-ohma-DmsExplorer-1-2016-189
0,5,1,0,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-27
1,4,0,0,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-178
0,1,0,0,0,0,0,0,0,0,0,0,kotlinCode-googl-santa-tracker-android-1-2015-52
2,0,0,0,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-76
0,0,1,0,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-85
2,0,0,0,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-95
3,1,0,4,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-139
2,2,1,0,1,1,0,0,1,0,0,0,kotlinCode-googl-santa-tracker-android-1-2015-13
0,5,1,0,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-66
0,1,0,0,0,0,0,0,0,0,1,0,kotlinCode-googl-santa-tracker-android-1-2015-42
0,0,1,0,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-37
0,2,1,0,0,1,0,0,0,0,0,0,kotlinCode-ohma-DmsExplorer-1-2016-199
0,1,1,5,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-6
0,1,1,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-299
0,3,0,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-108
5,0,0,2,0,6,0,0,0,0,0,0,kotlinCode-googl-santa-tracker-android-1-2015-27
1,0,0,0,0,0,0,1,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-492
0,4,0,0,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-703
0,3,1,0,0,0,0,0,0,0,1,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-752
0,0,1,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-497
3,1,0,4,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-612
6,0,1,20,0,0,0,0,0,0,0,0,kotlinCode-icaronune-PopCornShow-1-2018-38
0,1,0,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-524
0,2,0,0,0,2,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-575
0,0,1,0,2,0,0,0,0,0,0,0,kotlinCode-dkhmelenk-Varis-Android-0-2015-37
0,0,1,0,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-521
0,0,0,0,0,2,0,0,0,0,0,0,kotlinCode-iSoro-uhabits-0-2014-33
0,0,1,3,1,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-99
0,0,0,0,2,2,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-766
0,0,1,0,0,0,0,0,0,0,0,0,kotlinCode-jbmlair-DiscogsBrowser-1-2017-64
0,0,0,0,2,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-737
0,4,0,0,0,0,0,0,0,0,0,0,kotlinCode-jbmlair-DiscogsBrowser-1-2017-97
0,1,0,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-401
0,6,1,0,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-515
0,0,1,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-541
0,2,0,0,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-404
0,3,0,1,0,0,0,0,0,0,0,0,kotlinCode-dkhmelenk-Varis-Android-0-2015-52
0,1,0,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-470
1,1,0,4,0,0,0,0,0,0,0,0,kotlinCode-dewunm-Attendance-App-Lecturers-App--0-2019-9
0,1,1,5,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-424
2,4,0,3,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-421
2,0,0,1,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-535
1,0,0,0,0,0,0,0,0,0,0,0,kotlinCode-iSoro-uhabits-0-2014-42
0,22,0,0,0,0,5,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-486
0,1,0,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-603
0,8,0,0,0,0,0,0,0,0,0,0,kotlinCode-sewer-Bill-Calculator-1-2014-30
0,1,0,0,0,0,0,0,0,0,1,0,kotlinCode-iSoro-uhabits-0-2014-13
0,0,1,0,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-746
0,1,1,0,0,0,0,0,0,0,0,0,kotlinCode-dkhmelenk-Varis-Android-0-2015-81
1,1,1,3,2,0,0,0,0,0,0,0,kotlinCode-dkhmelenk-Varis-Android-0-2015-17
0,0,0,0,0,2,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-555
0,4,2,4,33,33,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-781
