(!= null),TRAIL_LAMBDA,COMPANION_OBJECT,NULL_DEREF,Token(token=DOT_SAFE),Token(token=ELVIS),Token(token=RANGE),Name(name=run),Name(name=let),Name(name=also),Name(name=apply),Name(name=with),filename
0,0,0,0,0,0,0,0,0,0,0,0,kotlinCode-dkhmelenk-Varis-Android-0-2015-42
0,1,1,0,0,0,0,0,0,0,0,0,kotlinCode-deviant-studi-the_forecast-10-2015-14
1,1,1,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-500
1,0,1,1,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-785
0,1,1,0,0,0,0,0,0,0,1,1,kotlinCode-Blank-AndroidUtilCode-5-2016-74
0,0,0,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-440
0,0,0,0,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-554
0,4,0,0,0,0,0,0,0,0,0,0,kotlinCode-zdend-aosp_platform_frameworks_support-0-2018-445
0,0,0,0,0,0,0,0,0,0,0,0,kotlinCode-orhanobu-dialogplus-6-2014-4
0,0,0,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-551
0,0,0,0,0,0,0,0,0,0,0,0,kotlinCode-linzhenglose-FishFamily-7-2017-1
0,0,0,6,1,0,0,0,0,0,0,0,kotlinCode-dkhmelenk-Varis-Android-0-2015-13
0,0,1,0,0,0,0,0,0,0,0,0,kotlinCode-requer-requery-5-2015-4
0,0,0,0,0,0,0,0,0,0,0,0,kotlinCode-iskandergab-Botanist-37-2017-14
0,2,0,0,0,0,0,0,0,0,0,0,kotlinCode-Almas-FXGL-2-2015-81
1,2,0,0,3,0,0,0,0,0,2,0,kotlinCode-twiceyua-RetroPreference-13-2017-25
0,0,0,0,0,0,0,0,0,0,0,0,kotlinCode-jbmlair-DiscogsBrowser-1-2017-87
0,1,1,1,1,0,0,0,0,0,0,1,kotlinCode-Blank-AndroidUtilCode-5-2016-25
0,0,0,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-411
0,1,0,0,1,0,0,0,1,0,0,0,kotlinCode-Almas-FXGL-2-2015-72
0,0,1,0,0,0,0,0,0,0,0,0,kotlinCode-westnordos-StreetComplete-0-2016-633
0,0,0,0,0,0,0,0,0,0,0,0,kotlinCode-consp1rac-android-commons-12-2015-2
0,0,0,0,0,0,0,0,0,0,0,0,kotlinCode-pgrez-android-samples-16-2015-1
